,accession,country,name,subtype,year
0,K03455,FR,HXB2-LAI-IIIB-BRU,B,1983
1,A04321,FR,IIIB_LAI,B,1983
2,A07108,CD,ELI_patent,D,1983
3,A07116,CD,MAL_patent,A1DK,1985
4,A07867,FR,LAI-J19,B,1983
5,A14116,CD,ELI_patent,D,1983
6,A34828,CD,NDK_patent,D,1983
7,AB023804,IN,93IN101,C,1993
8,AB032740,TH,95TNIH022,01_AE,1995
9,AB032741,TH,95TNIH047,01_AE,1995
10,AB049811,GH,97GH-AG1,02_AG,1997
11,AB052867,GH,97GH-AG2,02A1,1997
12,AB052995,JP,93JP_NH1,01_AE,1993
13,AB070352,JP,NH25_93JPNH25T_93JP_NH2_5T,01_AE,1993
14,AB078005,US,ARES2,B,1997
15,AB097865,MM,mIDU502,01B,2000
16,AB097866,MM,mCSW503,01BC,2000
17,AB097867,MM,mCSW104,01B,1999
18,AB097868,MM,mIDU107,01BC,1999
19,AB097869,MM,mIDU106,BC,1999
20,AB097870,MM,mSTD101,B,1999
21,AB097871,MM,mIDU101_3,C,1999
22,AB097872,MM,mCSW105,01A1,1999
23,AB097873,MM,mIDU103,BC,1999
24,AB098330,UG,UG031,A1,
25,AB098331,UG,UG031,A1,
26,AB098332,UG,UG029,A1,1992
27,AB098333,UG,UG029,A1,1992
28,AB220944,TH,93TH051,01_AE,1993
29,AB220945,TH,93TH054,01_AE,1993
30,AB220946,TH,93TH060,01_AE,1993
31,AB220947,TH,93TH062,01_AE,1993
32,AB220948,TH,93TH065,01_AE,1993
33,AB221005,US,Ba_L,B,1985
34,AB221125,JP,04JPDR6075B,B,2004
35,AB221126,JP,04JPDR6075B,B,2004
36,AB231893,GH,GHNJ175,G,2003
37,AB231894,GH,GHNJ176,02A1,2003
38,AB231895,GH,GHNJ185,02_AG,2003
39,AB231896,GH,GHNJ188,02_AG,2003
40,AB231897,GH,GHNJ193,02D,2003
41,AB231898,GH,GHNJ196,02_AG,2003
42,AB253421,RW,92RW008,A1,1992
43,AB253422,RW,92RW008,A1,1992
44,AB253423,JP,DR0492,01_AE,
45,AB253424,TH,93TH057,01_AE,1993
46,AB253425,TH,93TH057,01_AE,1993
47,AB253426,JP,DR6824,01_AE,
48,AB253427,JP,DR6824,01_AE,
49,AB253428,UG,92UG037_A35,A1,1992
50,AB253429,UG,92UG037_A40,A1,1992
51,AB253430,JP,DR0769,BF1,
52,AB253431,JP,DR0769,BF1,
53,AB253432,US,Ba_L,B,1985
54,AB253635,JP,DR1741,01_AE,
55,AB253636,JP,DR1741,01_AE,
56,AB253637,JP,DR1741,01_AE,
57,AB253638,JP,DR1741,01_AE,
58,AB253639,JP,DR1741,01_AE,
59,AB253640,JP,DR1741,01_AE,
60,AB253641,JP,DR1741,01_AE,
61,AB253642,JP,DR1741,01_AE,
62,AB253643,JP,DR1741,01_AE,
63,AB253644,JP,DR1741,01_AE,
64,AB253645,JP,DR1741,01_AE,
65,AB253646,JP,DR1741,01_AE,
66,AB253647,JP,DR1873,01_AE,
67,AB253648,JP,DR1873,01_AE,
68,AB253649,JP,DR1873,01_AE,
69,AB253650,JP,DR1873,01_AE,
70,AB253651,JP,DR1873,01_AE,
71,AB253652,JP,DR1873,01_AE,
72,AB253653,JP,DR1873,01_AE,
73,AB253654,JP,DR1873,01_AE,
74,AB253655,JP,DR1873,01_AE,
75,AB253656,JP,DR1873,01_AE,2000
76,AB253657,JP,DR1873,01_AE,
77,AB253658,JP,DR1873,01_AE,
78,AB253659,JP,DR2594,01_AE,
79,AB253660,JP,DR2594,01_AE,
80,AB253661,JP,DR2594,01_AE,
81,AB253662,JP,DR2594,01_AE,
82,AB253663,JP,DR2594,01_AE,
83,AB253664,JP,DR2594,01_AE,
84,AB253665,JP,DR2594,01_AE,
85,AB253666,JP,DR2594,01_AE,
86,AB253667,JP,DR2594,01_AE,
87,AB253668,JP,DR2594,01_AE,
88,AB253669,JP,DR3730,01_AE,
89,AB253670,JP,DR3730,01_AE,
90,AB253671,JP,DR3730,01_AE,
91,AB253672,JP,DR3730,01_AE,
92,AB253673,JP,DR3730,01_AE,
93,AB253674,JP,DR3730,01_AE,
94,AB253675,JP,DR3730,01_AE,
95,AB253676,JP,DR3730,01_AE,
96,AB253677,JP,DR3730,01_AE,
97,AB253678,JP,DR3730,01_AE,
98,AB253679,JP,DR3730,01_AE,
99,AB253680,JP,DR3730,01_AE,
100,AB253681,JP,DR0492,01_AE,
101,AB253682,JP,DR0492,01_AE,
102,AB253683,JP,DR0492,01_AE,
103,AB253684,JP,DR0492,01_AE,
104,AB253685,JP,DR0492,01_AE,
105,AB253686,JP,DR0492,01_AE,
106,AB253687,JP,DR0492,01_AE,
107,AB253688,JP,DR0492,01_AE,
108,AB253689,JP,DR0492,01_AE,
109,AB253690,JP,DR0492,01_AE,
110,AB253691,JP,DR0492,01_AE,
111,AB253692,JP,DR1236,01_AE,
112,AB253693,JP,DR1236,01_AE,
113,AB253694,JP,DR1236,01_AE,
114,AB253695,JP,DR1236,01_AE,
115,AB253696,JP,DR1236,01_AE,
116,AB253697,JP,DR1236,01_AE,
117,AB253698,JP,DR1236,01_AE,
118,AB253699,JP,DR1236,01_AE,
119,AB253700,JP,DR1236,01_AE,
120,AB253701,JP,DR1236,01_AE,
121,AB253702,JP,DR1236,01_AE,
122,AB253703,JP,DR2192,01_AE,
123,AB253704,JP,DR2192,01_AE,
124,AB253705,JP,DR2192,01_AE,
125,AB253706,JP,DR2192,01_AE,
126,AB253707,JP,DR2192,01_AE,
127,AB253708,JP,DR2192,01_AE,
128,AB253709,JP,DR2192,01_AE,
129,AB253710,JP,DR2192,01_AE,
130,AB253711,JP,DR2192,01_AE,
131,AB253712,JP,DR2192,01_AE,
132,AB253713,JP,DR2192,01_AE,
133,AB253714,JP,DR2192,01_AE,
134,AB253715,JP,DR2192,01_AE,
135,AB253716,JP,DR2192,01_AE,
136,AB253717,JP,DR5032,01_AE,
137,AB253718,JP,DR5032,01_AE,
138,AB253719,JP,DR5032,01_AE,
139,AB253720,JP,DR5032,01_AE,
140,AB253721,JP,DR5032,01_AE,
141,AB253722,JP,DR5032,01_AE,
142,AB253723,JP,DR5032,01_AE,
143,AB253724,JP,DR5032,01_AE,
144,AB253725,JP,DR5032,01_AE,
145,AB254141,ZM,02ZM108,C,2002
146,AB254142,ZM,02ZM110,C,2002
147,AB254143,ZM,02ZM112,C,2002
148,AB254144,ZM,02ZM112,C,2002
149,AB254145,ZM,02ZM112,C,2002
150,AB254146,ZM,02ZM114,C,2002
151,AB254147,ZM,02ZM114,C,2002
152,AB254148,ZM,02ZM115,C,2002
153,AB254149,ZM,02ZMBC,C,2002
154,AB254150,ZM,02ZMDB,C,2002
155,AB254151,ZM,02ZMDB,C,2002
156,AB254152,ZM,02ZMDB,C,2002
157,AB254153,ZM,02ZMDB,C,2002
158,AB254154,ZM,02ZMDB,C,2002
159,AB254155,ZM,02ZMJC,C,2002
160,AB254156,ZM,02ZMJM,C,2002
161,AB286849,JP,DR5782,CU,2004
162,AB286850,JP,DR5782,CU,2004
163,AB286851,GH,03GH173_06,06_cpx,2003
164,AB286852,GH,03GH173_06,06_cpx,2003
