US,2911
CN,2081
ZA,1715
TH,1354
ZM,1260
MW,747
UG,682
BW,588
JP,542
IT,436
ES,376
KR,277
BR,273
CM,230
NL,216
CA,209
IN,196
KE,159
CY,148
FR,136
RW,123
TZ,75
PE,72
AU,65
CD,52
SN,45
RU,45
SE,40
AR,38
MY,38
VN,36
BE,35
CH,35
GB,34
GH,31
TG,28
CU,26
DE,24
UY,23
NG,23
DK,20
BI,18
LU,17
VE,16
AF,15
BF,14
EE,13
UA,13
PY,12
ML,12
UZ,11
GR,11
MM,10
IR,10
GA,9
GQ,9
MX,9
JM,8
CO,7
GW,7
SA,6
PT,6
KZ,6
CI,6
HT,5
TT,5
GE,5
IL,5
YE,5
TW,4
ID,4
HK,4
CF,4
DO,4
CL,4
TD,4
EC,4
ET,3
AO,3
GM,3
NE,3
AT,3
BO,3
RO,2
PL,2
BY,2
LR,2
DJ,2
SG,2
NO,1
BJ,1
FI,1
SO,1
MO,1
